N,BUSCA,Tempo de inserção (média com 10 execuções),Tempo de procura (média com 10 execuções),Tipo
10000,10000,"0,00307470000000000000","0,20851990000000000000",rand
10000,10000,"0,00304620000000000000","0,20792160000000000000",rand
10000,10000,"0,00334940000000000000","0,20783500000000000000",rand
10000,100000,"0,00316420000000000000","2,04472570000000000000",rand
10000,1000000,"0,00277430000000000000","21,08477890000000000000",rand
100000,1000000,"0,02238120000000000000","210,45078250000000000000",rand
1000000,10000,"0,18767780000000000000","34,19355380000000000000",rand
100000,10000,"0,02179400000000000000","2,13119370000000000000",rand
1000,1000000,"0,00030230000000000000","2,05738940000000000000",rand
100,100,"0,00002910000000000000","0,00003750000000000000",seq
1000,1000,"0,00024000000000000000","0,00348410000000000000",seq
10000,10000,"0,00254730000000000000","0,20908980000000000000",seq
100000,100000,"0,02056210000000000000","22,04292580000000000000",seq
100,1000000,"0,00003060000000000000","0,22046150000000000000",seq
1000,1000000,"0,00024940000000000000","2,05717890000000000000",seq
1000,1000000,"0,00026890000000000000","2,06047980000000000000",seq
100,10000,"0,00003040000000000000","0,00372920000000000000",seq
100,100000,"0,00002570000000000000","0,02582510000000000000",seq
1000,10000,"0,00027380000000000000","0,02508860000000000000",seq
1000,100000,"0,00023810000000000000","0,20996930000000000000",seq
1000,100,"0,00024700000000000000","0,00034260000000000000",seq
10000,100,"0,00277340000000000000","0,00345940000000000000",seq
100000,100,"0,02083680000000000000","0,02155350000000000000",seq
1000000,100,"0,17696510000000000000","0,33139240000000000000",seq
1000,100,"0,00027060000000000000","0,00036330000000000000",seq
10000,100,"0,00271900000000000000","0,00343640000000000000",seq
100000,100,"0,02110420000000000000","0,02178160000000000000",seq
1000000,100,"0,17607760000000000000","0,33048550000000000000",seq
1000,1000,"0,00026050000000000000","0,00378310000000000000",seq
10000,10000,"0,00285060000000000000","0,20958510000000000000",seq
1000,1000,"0,00027320000000000000","0,00388810000000000000",seq
10000,1000,"0,00265800000000000000","0,02403740000000000000",seq
100,1000,"0,00002830000000000000","0,00037800000000000000",seq
10000,1000,"0,00270130000000000000","0,02372360000000000000",seq
100000,1000,"0,02109060000000000000","0,21544210000000000000",seq
1000000,1000,"0,17768130000000000000","3,32272230000000000000",seq
100000,10000,"0,02086840000000000000","2,16585920000000000000",seq
1000000,10000,"0,18933730000000000000","34,69509730000000000000",seq
10000,100000,"0,00315390000000000000","2,04333190000000000000",rand
10000,1000000,"0,00318510000000000000","20,39313380000000000000",rand
100000,1000000,"0,02248720000000000000","209,37861160000000000000",rand
1000000,100000,"0,18587740000000000000","307,58212400000000000000",rand
100000,1000000,"0,02078510000000000000","219,72543930000000000000",seq
1000000,100000,"0,18593060000000000000","348,03729280000000000000",seq
1000000,1000000,"0,20915033333333333333","3423,08498366666666666666",seq
