N,BUSCA,Tempo de inserção (média com 10 execuções),Tempo de procura (média com 10 execuções),Tipo
100000,1000000,"999,00000000000000000000","",rand
100,100,"0,00006020000000000000","0,00001330000000000000",seq
1000,100,"0,00054030000000000000","0,00001600000000000000",seq
10000,100,"0,00677590000000000000","0,00004300000000000000",seq
100000,100,"0,07350930000000000000","0,00007940000000000000",seq
100,100,"0,00004780000000000000","0,00000970000000000000",seq
1000,100,"0,00057620000000000000","0,00001760000000000000",seq
10000,100,"0,00769470000000000000","0,00003750000000000000",seq
100000,100,"0,07250470000000000000","0,00008290000000000000",seq
1000000,100,"0,86116880000000000000","0,00015850000000000000",seq
100,1000,"0,00004720000000000000","0,00008000000000000000",seq
1000,1000,"0,00058230000000000000","0,00016200000000000000",seq
10000,1000,"0,00680300000000000000","0,00028280000000000000",seq
100000,1000,"0,07289370000000000000","0,00054440000000000000",seq
1000000,1000,"0,90113830000000000000","0,00133830000000000000",seq
100,10000,"0,00005120000000000000","0,00090160000000000000",seq
1000,10000,"0,00049240000000000000","0,00128510000000000000",seq
10000,10000,"0,00648940000000000000","0,00219770000000000000",seq
100000,10000,"0,08365270000000000000","0,00574690000000000000",seq
1000000,10000,"0,92286070000000000000","0,01099120000000000000",seq
100,100,"0,00005010000000000000","0,00001060000000000000",seq
1000,100,"0,00059760000000000000","0,00001810000000000000",seq
10000,100,"0,00770840000000000000","0,00003040000000000000",seq
100000,100,"0,07772480000000000000","0,00009470000000000000",seq
1000000,100,"0,85611180000000000000","0,00016170000000000000",seq
100,1000,"0,00004670000000000000","0,00008320000000000000",seq
1000,1000,"0,00052300000000000000","0,00014270000000000000",seq
10000,1000,"0,00717190000000000000","0,00027280000000000000",seq
100000,1000,"0,07294860000000000000","0,00054380000000000000",seq
1000000,1000,"0,85013580000000000000","0,00115660000000000000",seq
100,10000,"0,00005580000000000000","0,00091530000000000000",seq
1000,10000,"0,00059390000000000000","0,00161370000000000000",seq
10000,10000,"0,00775810000000000000","0,00207560000000000000",seq
100000,10000,"0,07206150000000000000","0,00401960000000000000",seq
1000000,10000,"0,87337680000000000000","0,01035720000000000000",seq
100,100000,"0,00004340000000000000","0,00726380000000000000",seq
1000,100000,"0,00053530000000000000","0,01431600000000000000",seq
10000,100000,"0,00740630000000000000","0,01969570000000000000",seq
100000,100000,"0,07838080000000000000","0,03830180000000000000",seq
1000000,100000,"0,86248880000000000000","0,10153180000000000000",seq
100,1000000,"0,00004730000000000000","0,06888610000000000000",seq
1000,1000000,"0,00059260000000000000","0,11573100000000000000",seq
10000,1000000,"0,00747920000000000000","0,17923450000000000000",seq
100000,1000000,"0,07856480000000000000","0,36110850000000000000",seq
1000000,1000000,"0,90236260000000000000","1,00716890000000000000",seq
1000000,1000000,"0,85001330000000000000","1,02051900000000000000",seq
100,100,"0,00006170000000000000","0,00001220000000000000",rand
1000,100,"0,00066130000000000000","0,00001470000000000000",rand
10000,100,"0,00872950000000000000","0,00002370000000000000",rand
100000,100,"0,08889300000000000000","0,00004260000000000000",rand
1000000,100,"1,70359230000000000000","0,00009500000000000000",rand
100,1000,"0,00005400000000000000","0,00008160000000000000",rand
1000,1000,"0,00063940000000000000","0,00012150000000000000",rand
10000,1000,"0,00820350000000000000","0,00021660000000000000",rand
100000,1000,"0,09157750000000000000","0,00038010000000000000",rand
1000000,1000,"1,69807920000000000000","0,00084420000000000000",rand
100,10000,"0,00005480000000000000","0,00081530000000000000",rand
1000,10000,"0,00074070000000000000","0,00145920000000000000",rand
10000,10000,"0,00813450000000000000","0,00187170000000000000",rand
100000,10000,"0,09179900000000000000","0,00332910000000000000",rand
1000000,10000,"1,68133240000000000000","0,00809630000000000000",rand
100,100000,"0,00005930000000000000","0,00818590000000000000",rand
1000,100000,"0,00075080000000000000","0,01370220000000000000",rand
10000,100000,"0,00924880000000000000","0,01710290000000000000",rand
100000,100000,"0,08835260000000000000","0,02892410000000000000",rand
1000000,100000,"1,66233510000000000000","0,07776430000000000000",rand
100,1000000,"0,00005770000000000000","0,06858980000000000000",rand
1000,1000000,"0,00079210000000000000","0,10290230000000000000",rand
10000,1000000,"0,00955570000000000000","0,15084950000000000000",rand
100000,1000000,"0,08717850000000000000","0,28552480000000000000",rand
1000000,1000000,"1,66645750000000000000","0,77903350000000000000",rand
1000000,1000000,"1,69046430000000000000","0,79740680000000000000",rand
1000000,1000000,"0,85155700000000000000","1,01284670000000000000",seq
